@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
negativa,socio-emocional,'soné le uno poco de onda , no ser el único que tener responsabilidad , estar todo en el mismo ? ',2,1,3,2,4,4,0,0,2,3,0,0
negativa,socio-emocional,'por_favor pueden_parar ',0,1,0,1,0,0,0,0,0,0,0,0
negativa,socio-emocional,'porque ser choto el ejemplo ',0,0,1,2,1,0,1,0,0,0,0,0
negativa,socio-emocional,'si pero no ser el mismo definir lo como que buscar en uno base de dato de solución ',1,1,2,3,3,2,3,0,3,0,0,0
negativa,socio-emocional,'si que no ',0,1,0,0,0,0,2,0,0,0,0,0
negativa,socio-emocional,'sólo que yo estar perder el paciencia tratar de editar , y si ir a seguir así por mucho tiempo ya ser , me ir a dormir . ',0,3,2,2,9,2,3,0,4,3,0,0
negativa,socio-emocional,'no me guardar nada , implemente ser ese ',0,2,0,0,2,3,0,0,0,1,0,0
negativa,socio-emocional,'tampoco ser que te ir a putear por uno par de edición , pero que estar TM_min:10 todo romper y nadie lo arreglar no me motivar mucho a seguir intentar solucionar el cosa ... lo tener que arreglar yo , ya estar . ',0,4,2,3,13,9,3,0,4,4,1,0
respuesta,tarea,'todo bien pero no lo volver a hacer ',0,2,0,0,2,2,1,0,1,0,0,0
negativa,socio-emocional,'yo estar bastante tranquilizo eh , me estar haciendo_cargo de todo el que estar pasar y no me quedar de brazo cruzar esperar que se solucionar todo mágica_mente ',1,3,3,1,9,5,2,1,2,1,0,0
positiva,socio-emocional,'gracia ? ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,socio-emocional,'gracia ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'gracia ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'ok , gracia laura ',1,0,0,2,0,0,0,0,0,1,0,0
positiva,socio-emocional,'ah da le ',0,0,0,0,1,1,0,1,0,0,0,0
positiva,socio-emocional,'bueno el borro ',0,0,1,1,0,0,0,1,0,0,0,0
positiva,socio-emocional,'bueno si ',0,0,0,0,0,0,1,1,0,0,0,0
positiva,socio-emocional,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'clac ro si ',0,0,0,2,0,0,1,0,0,0,0,0
positiva,socio-emocional,'claro todo ese , el fecha de entrega ',0,1,2,2,0,1,0,0,1,1,0,0
positiva,socio-emocional,'claro ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'clareos ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'joya ! ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,socio-emocional,'si ya parecer que estar y queresa , manda lo ( hablar por fosé , que justo estar con el , y por mi ) ',0,2,2,2,5,2,4,0,3,5,0,0
respuesta,tarea,'mañana a el noche , pero llegar a casa [??:??/??/??:10.30:??] mas o menos ',0,2,1,2,1,0,3,0,2,1,0,1
positiva,socio-emocional,'ok , a el 5 poder ',0,0,1,1,1,0,0,0,1,1,1,0
positiva,socio-emocional,'se ',0,0,0,0,0,1,0,0,0,0,0,0
positiva,socio-emocional,'si ah estarza ',1,1,0,0,0,0,1,0,0,0,0,0
positiva,socio-emocional,'si da le , de ultimar si encontrar otro el agregamos ',0,0,2,0,4,1,2,0,1,1,0,0
positiva,socio-emocional,'si da le ',0,0,0,0,1,1,1,0,0,0,0,0
positiva,socio-emocional,'si le gustar si ',0,0,0,0,1,1,2,0,0,0,0,0
positiva,socio-emocional,'si mirando lo de ese punto de vista tened razone ',0,0,1,3,2,1,1,0,2,0,0,0
positiva,socio-emocional,'si re tecla ',1,0,0,1,0,0,1,0,0,0,0,0
positiva,socio-emocional,'si si ',0,0,0,0,0,0,2,0,0,0,0,0
positiva,socio-emocional,'si ser muy parecer ',1,1,0,0,1,0,1,0,0,0,0,0
positiva,socio-emocional,'si , el etapa en el 2ª , ',0,0,2,1,0,0,1,0,1,2,1,0
positiva,socio-emocional,'sí , lo poner de 1000 forma a el titulillo para el 4 padre ',0,1,2,3,1,1,0,0,3,1,2,0
positiva,socio-emocional,'si ',0,0,0,0,0,0,1,0,0,0,0,0
positiva,socio-emocional,'sí ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'sí ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'sidi ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'siso ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'y por mi si ',0,0,1,0,0,0,2,0,1,0,0,0
positiva,socio-emocional,'yo poder ! ',0,0,0,0,1,1,0,0,0,1,0,0
positiva,socio-emocional,'yo si . ',0,0,0,0,0,1,1,0,0,1,0,0
respuesta,tarea,'( a el 5 ) ',0,0,1,0,0,0,0,0,1,2,1,0
positiva,socio-emocional,'a ver si el acomodo ',0,0,1,1,1,0,1,0,1,0,0,0
respuesta,tarea,'acomoda lo ',0,0,0,0,1,1,0,0,0,0,0,0
respuesta,tarea,'agregar uno nota poner algo de el respuesta de uno punto ',0,0,3,3,2,1,0,0,2,0,0,0
positiva,socio-emocional,'ah poner todo el que creer , de el manera más formal ',1,2,3,1,2,1,0,0,1,1,0,0
positiva,socio-emocional,'ahora a el tarde lo mirar si quered podemos arreglar uno hora para conectar nos todo para hacer algo ',0,1,2,3,5,4,1,0,3,0,0,0
respuesta,tarea,'alguien querer ir completar el 1 con el 4 fase ? ',1,0,2,1,3,1,0,0,1,1,1,0
respuesta,tarea,'arreglar el 1 ',0,0,1,0,1,0,0,0,0,0,1,0
positiva,socio-emocional,'banquetee hasta después_de el [??:??/??/??:12.00:pm] que llegar y el repaso ',0,2,2,1,1,1,1,0,1,0,0,1
respuesta,tarea,'bruno queresa buscar uno ultimar ejemplo o preferid encargar te de el 3 ? ',1,0,2,3,3,1,1,0,1,1,1,0
respuesta,tarea,'bruno si queresa ayuda me a arreglar el uno ',1,0,1,1,2,2,1,0,1,0,0,0
respuesta,tarea,'buen_is_i_m_o esperar a ver que decir el demos ',0,1,1,1,3,0,1,0,1,0,0,0
respuesta,tarea,'bueno me poner a traducir si querer y le ir agregar cosa ? ',0,0,0,1,5,2,2,1,1,1,0,0
positiva,socio-emocional,'bueno , a ver , el arreglo yo , pero nadie toque_nada ',0,0,1,2,1,2,1,1,1,3,0,0
respuesta,tarea,'capaz q poder poner algo mas de nos , que se agregar el caso como hecho en el base ',1,0,2,4,3,4,2,0,2,1,0,0
respuesta,tarea,'capaz que nombrar los ',1,0,0,0,1,1,1,0,0,0,0,0
respuesta,tarea,'che explayar uno poco el otro 2 jajay ',0,0,3,0,1,1,0,2,0,0,1,0
respuesta,tarea,'che lo seguir mañana ? ? ',0,1,0,0,1,1,0,1,0,2,0,0
respuesta,tarea,'chico , poder usar edición como sugerencia para no tener que editar o borrar cosa ',0,1,0,4,5,1,2,0,1,1,0,0
positiva,socio-emocional,'claro , y de paso ir ver si dejar así el 2 1 ',1,1,1,2,3,0,2,0,1,1,1,0
respuesta,tarea,'cosa de mañana ya enviar lo ',0,2,0,1,1,1,0,0,1,0,0,0
respuesta,tarea,'dejar en letra 10 el resultado ',0,0,1,2,1,0,0,0,1,0,1,0
respuesta,tarea,'deshacer . . ',0,0,0,0,1,0,0,0,0,2,0,0
respuesta,tarea,'el [S:??/??/??:??.??:??] haber q entregar lo ',0,0,1,0,2,1,1,0,0,0,0,1
respuesta,tarea,'empecer si querer ',0,0,0,0,2,0,1,0,0,0,0,0
respuesta,tarea,'ser que haber que aclarar que ese problema anterior ser el que el mismo resolver ',2,0,3,1,5,1,3,0,0,0,0,0
respuesta,tarea,'esperar no haber drama ',0,1,0,1,2,0,0,0,0,0,0,0
respuesta,tarea,'estar decir que redactar con su palabra , cada uno , el que responder a el uno , de manera breve ',1,0,4,2,4,3,1,0,3,3,0,0
respuesta,tarea,'faltaría explicar todo ese jajay ',1,0,1,0,1,1,0,1,0,0,0,0
respuesta,tarea,'formateemos si le parecer q el respuesta quedar abajo de el pregunta ',0,1,2,2,3,1,2,0,1,0,0,0
respuesta,tarea,'hablar por acá ',0,1,0,0,1,0,0,0,1,0,0,0
respuesta,tarea,'habría que ver como se realizar el comparación de el caso ',0,0,2,3,2,1,2,0,1,0,0,0
respuesta,tarea,'hacer uno cosa poner el letra comuna en 12 y el titulo en 14 ',0,1,3,3,2,0,1,0,2,0,2,0
respuesta,tarea,'hacer uno cosa ',0,0,1,1,1,0,0,0,0,0,0,0
respuesta,tarea,'hacer uno generalización cuando tener uno nuevo problema mirar el que ya tener resolver ',1,1,3,2,5,2,0,0,0,0,0,0
respuesta,tarea,'hacer uno cosa ',0,0,1,1,1,0,0,0,0,0,0,0
respuesta,tarea,'haber q poner el integrante ',0,0,1,2,2,0,0,0,0,0,0,0
negativa,socio-emocional,'el diferencia el se yo , así que no me chamales ( ? ',0,2,2,2,0,3,1,0,0,3,0,0
respuesta,tarea,'laura , queresa leer el último y decir me q pensase ? ',2,0,1,2,2,2,1,0,0,2,0,0
respuesta,tarea,'le acomodar el hoja y borra el que no ir también ? ',0,1,2,2,3,2,1,0,0,1,0,0
respuesta,tarea,'leer el código ',0,0,1,1,1,0,0,0,0,0,0,0
respuesta,tarea,'el q este en rojo no me lo borrar ',0,1,2,2,1,2,0,0,1,0,0,0
respuesta,tarea,'el que haber que hacer ser identificar el 4 etapa y implementar las en prologá ',0,0,2,2,5,2,2,0,1,0,1,0
respuesta,tarea,'mañana le pintar uno toque el respuesta ',0,1,2,2,1,1,0,0,0,0,0,0
respuesta,tarea,'marfil , a vos te decir si queridas poner el de el telefotos ',0,0,2,3,2,2,1,0,2,1,0,0
respuesta,tarea,'no se olvidar de el encuesta . . ',0,1,1,1,1,1,0,0,1,2,0,0
respuesta,tarea,'no se olvidar de poner bibliografía de el q haber leudo ',0,1,1,2,3,2,0,0,2,0,0,0
positiva,socio-emocional,'no se ',0,1,0,0,0,1,0,0,0,0,0,0
respuesta,tarea,'o poner , hacer uno analogía con el analogías , el razonamiento basar en caso ser uno manera de razonar hacer analogías ',0,0,4,6,6,0,1,0,3,2,0,0
respuesta,tarea,'o volar el 1 oración en rojo , o todo el párrafo 2 ',2,0,3,3,1,0,2,0,1,1,0,0
respuesta,tarea,'para mi el mejor ser q nos encargar de algo en particular cada uno ',1,0,3,1,2,3,1,0,3,0,0,0
respuesta,tarea,'pedir uno reasignación de grupo ... ',0,0,1,2,1,0,0,0,1,1,0,0
respuesta,tarea,'pegar el de w_i_k_i_pedia ',1,0,1,0,1,0,0,0,1,0,0,0
respuesta,tarea,'pero a ver , ir alomás básico de el básico ',2,1,1,0,2,0,1,0,2,1,0,0
respuesta,tarea,'pero podríamos mencionar que parte de el problema , lo adaptar , y el agregar ',0,0,2,2,4,1,3,0,1,2,0,0
respuesta,tarea,'pero si , nos poner de acuerdo uno din y horario para liquidar lo . ',0,0,1,3,2,2,3,0,2,2,0,0
respuesta,tarea,'en TM_h:1 quedar con moño y todo ',0,0,1,1,1,0,1,0,2,0,1,0
respuesta,tarea,'podríamos golear uno poco mas en el tiempo libre y mañana lo seguir . . si a alguien se le prender el lamparista que avisar jajay ',1,1,3,2,5,6,3,1,2,2,0,0
respuesta,tarea,'poner uno din y hg q poder o franja horario así tratar de sumar nos todo ',1,0,2,4,4,2,2,0,1,0,0,0
respuesta,tarea,'porque sino lo mandar como estar y el catedral no se dar ni contar ',0,1,1,1,4,2,5,0,0,0,0,0
respuesta,tarea,'haber que definir lo como que ir aprender y generar uno base de dato ',0,0,1,2,5,2,3,0,1,0,0,0
respuesta,tarea,'quedar en juntar nos mañana de 23 a 24 ',0,1,0,0,2,1,0,0,3,0,2,0
respuesta,tarea,'queresa escribir lo ? ',0,0,0,0,2,1,0,0,0,1,0,0
respuesta,tarea,'quizás antecede todo el texto que poner habría que poner uno mini introducción decir que prologá bla bla ',2,0,3,3,4,1,2,2,1,0,0,0
respuesta,tarea,'quizás no lo asociaría con el forma de pensar de el persona , solo ese ',1,2,2,3,1,2,0,0,3,1,0,0
respuesta,tarea,'si no este seguro poner que en principio se poder hacer con ese ',0,1,1,2,3,2,2,0,2,0,0,0
respuesta,tarea,'si queresa esperar hasta y 10 y empezar ',0,0,0,1,2,0,3,0,1,0,1,0
respuesta,tarea,'si querer hacer el 2 ',0,0,1,0,2,0,1,0,0,0,1,0
positiva,socio-emocional,'si querer lo traducir ',0,0,0,0,2,1,1,0,0,0,0,0
respuesta,tarea,'si querer poder ir poner en el documento , el que se nos ir ocurrir ',0,0,2,1,6,3,1,0,1,1,0,0
respuesta,tarea,'si querer ir escribir el más breve posible como responder el 1 ',2,1,2,0,4,0,2,0,0,0,1,0
respuesta,tarea,'seguir mas abajo ',0,1,0,0,1,0,1,0,0,0,0,0
respuesta,tarea,'sino dejar y mañana o pasar lo liquidar el que estar ',0,0,1,1,4,2,3,0,0,0,0,0
respuesta,tarea,'siso , después pega le uno hojeada ',0,1,1,2,1,1,0,0,0,1,0,0
respuesta,tarea,'tendríamos q leer el 1 de nuevo a ver como ido ',1,0,1,1,3,1,1,0,2,0,1,0
respuesta,tarea,'tendríamos q poner uno din y fecha para estar todo y hacer el ny . . ',0,0,2,3,4,1,3,0,1,2,0,0
respuesta,tarea,'tirar uno ejemplo haber como lo transformamos ... pero tira lo con palabra no con coligo ',0,1,1,3,4,2,2,0,2,1,0,0
respuesta,tarea,'tocar antecede entregar , no modificar ahora ',0,2,0,0,3,0,0,0,1,1,0,0
negativa,socio-emocional,'si no aportar dato ir a dormir jajajá ',0,1,0,1,3,0,1,1,1,0,0,0
respuesta,tarea,'uno paradigma de resolución de problema ',0,0,1,3,0,0,0,0,2,0,0,0
positiva,socio-emocional,'ir a ir leer algo si poder así entrar en calor ? ',0,1,0,2,5,0,1,0,2,1,0,0
positiva,socio-emocional,'ir agregar a el dock y el que no ir el borrar ',0,1,3,1,4,1,1,0,1,0,0,0
respuesta,tarea,'y si lo hacer en este momento exacto que estar todo ? : p ',1,0,1,2,2,3,2,0,1,2,0,0
positiva,socio-emocional,'yo agregar ese en el uno y tratar de agregar algo mas ',0,0,1,0,3,4,2,0,2,0,0,0
respuesta,tarea,'yo decir de volar lo ',0,0,0,0,2,2,0,0,1,0,0,0
respuesta,tarea,'yo poner ese ejemplo , bien copar ',0,1,1,1,2,1,0,0,0,1,0,0
respuesta,tarea,'[??:??/??/??:1.??:??] con el 1 ) , medio limasen ',1,1,1,0,0,0,0,0,1,2,1,1
respuesta,tarea,'a el 3 entonces quedar o a el 7 ? ',0,1,2,0,1,0,1,0,2,1,2,0
respuesta,tarea,'a el 7 por mi este bien ',0,0,3,1,0,0,0,0,2,0,1,0
positiva,socio-emocional,'adherir ',0,0,0,0,1,0,0,0,0,0,0,0
respuesta,tarea,'ah como este este de 10 ',0,1,2,0,0,0,1,0,1,0,1,0
respuesta,tarea,'ah ir quedar ',0,1,0,0,2,0,0,0,0,0,0,0
respuesta,tarea,'a el comparación deja la ',0,0,1,1,1,1,0,0,1,0,0,0
respuesta,tarea,'así que me parecer que feudo bien ',0,1,0,2,1,2,1,0,0,0,0,0
respuesta,tarea,'banca , ese ultimar que tocar el dejaría como estar , sotavente pondría , este proceso se componer de 4 paso ',0,1,2,5,4,2,2,0,1,3,1,0
positiva,socio-emocional,'buenas ! ',0,0,0,1,0,0,0,0,0,1,0,0
respuesta,tarea,'mañana a el 14 entonces ? ',0,2,1,0,0,0,0,0,1,1,1,0
positiva,socio-emocional,'bueno como querer jajay . ',0,0,0,0,1,0,1,2,0,1,0,0
positiva,socio-emocional,'bueno estar entonces ? ',0,1,0,0,1,0,0,1,0,1,0,0
positiva,socio-emocional,'bueno lo dejar así entonces ',0,1,0,1,1,1,0,1,0,0,0,0
positiva,socio-emocional,'bueno nos para mi estarza ',2,0,1,1,0,0,0,0,1,0,0,0
positiva,socio-emocional,'bueno seguir con el dock ',0,0,1,1,1,0,0,1,1,0,0,0
positiva,socio-emocional,'bueno seguir con el definición ',0,0,1,1,1,0,0,1,1,0,0,0
positiva,socio-emocional,'bueno ya este seguir ',0,1,0,0,1,1,0,1,0,0,0,0
respuesta,tarea,'capaz que faltaría agregar ese ',1,0,0,1,1,1,1,0,0,0,0,0
respuesta,tarea,'cerca de el noche suponer que estar todo ',0,1,2,1,2,0,1,0,1,0,0,0
positiva,socio-emocional,'clavaron , no seriar uno relaciona entre echo 1..1 sino de varios en varios y ah corregir si el oración este bien redactar o lo traducir a uno frase parecer en otro idioma , parecer uno ejemplo bueno también ',1,2,6,7,7,3,4,1,5,2,1,0
positiva,socio-emocional,'claro ese ser , y que gracias el inteligencia artificial poder agregar nuevo enfermedad con su respectivo síntomas ',3,0,2,3,3,1,2,1,2,1,0,0
positiva,socio-emocional,'claro , en uno par de lado ver también que no usar prologá pero no decir porque . . usar clips ',0,3,1,4,5,0,3,0,2,3,0,0
positiva,socio-emocional,'claro , este bien ',0,1,0,0,0,1,0,1,0,1,0,0
positiva,socio-emocional,'claro ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'coincidir con el que poner jan en el 3 ',0,1,2,0,2,1,0,0,2,0,1,0
respuesta,tarea,'por ah podríamos agregar que en_caso_de generalizar todo el problema quizás serio posible realizar lo pero no asegurar que ir a funcionar en todo el caso . . ',3,2,4,2,7,1,3,0,4,2,0,0
positiva,socio-emocional,'como gustar ! ',0,0,0,0,1,0,1,0,0,1,0,0
respuesta,tarea,'por mi ya estar ! ',0,1,1,0,1,0,0,0,1,1,0,0
respuesta,tarea,'creer que con ese este bien ',0,0,1,1,1,1,1,0,1,0,0,0
respuesta,tarea,'creer que este bien así ',0,1,1,1,1,0,1,0,0,0,0,0
respuesta,tarea,'creer que el que paso ser que yo le entrar a dar a el ctrl_z y otro empezar a intentar acomodar . ',0,0,2,2,7,4,3,0,3,1,0,0
respuesta,tarea,'hi se reventó todo ',0,0,1,2,0,1,0,0,0,0,0,0
positiva,socio-emocional,'da le agrega lo ',0,0,0,0,2,2,0,0,0,0,0,0
positiva,socio-emocional,'da le da le ',0,0,0,0,2,2,0,0,0,0,0,0
positiva,socio-emocional,'da le da le ',0,0,0,0,2,2,0,0,0,0,0,0
positiva,socio-emocional,'a le estar bueno ',1,0,0,0,2,1,0,0,0,0,0,0
positiva,socio-emocional,'da le mejor ',0,1,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le renco da le formato ',0,0,0,2,2,2,0,0,0,0,0,0
positiva,socio-emocional,'a le tipo 7 ',0,0,0,1,1,1,0,0,0,0,1,0
positiva,socio-emocional,'a le , ah estar mirar qué se poder agregar ',0,1,0,0,5,3,0,0,0,1,0,0
positiva,socio-emocional,'da le , cuando querer ',0,0,0,0,2,1,1,0,0,1,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
respuesta,tarea,'el mal lo deber tener ',0,0,1,1,2,1,0,0,0,0,0,0
respuesta,tarea,'entonces el machina clearing lei uno base de dato y generar solución de el cual no aprendió ',1,2,3,5,2,1,1,0,2,0,0,0
pregunta,tarea,'este aprender de el que resolvió , no de el dato real ? ',1,1,2,1,2,2,0,0,2,2,0,0
respuesta,tarea,'entonces hablar . ',0,1,0,0,1,0,0,0,0,1,0,0
respuesta,tarea,'entonces planificación también este mal ',0,1,1,2,1,0,0,0,0,0,0,0
respuesta,tarea,'entonces poder decir que ser 2 cosa distinto , pero que poder funcionar anidar ',1,1,0,1,6,1,2,0,0,1,1,0
respuesta,tarea,'entonces se basar en caso ',0,1,0,1,1,1,0,0,1,0,0,0
respuesta,tarea,'entonces se podrir realizar buscar sinónimos ( ser decir abstraer el problema ) y buscar uno soluciona general no ? ',1,2,2,4,6,1,1,0,0,3,0,0
respuesta,tarea,'entonces si lo llevar a el área de el inteligencia artificial poder decir que , uno nuevo problema se comparar con el caso almacenar prevalente en el base de caso y se recuperar uno o varios caso . ',2,2,6,7,6,4,4,0,5,2,0,0
respuesta,tarea,'luego se utilizar y evaluar uno solución , sugerir por el caso que haber ser seleccionar con anterioridad , para ver si servir para solucionar el problema actual . ',1,1,3,4,9,2,2,0,4,3,0,0
respuesta,tarea,'salvo que el caso recuperar ser igual a el actual , en general el soluciona tener que tener modificación , el que dar lugar a uno nuevo caso . ',4,0,5,5,5,1,2,0,4,3,0,0
respuesta,tarea,'entonces solo haber que esperar ',0,2,0,0,2,0,1,0,0,0,0,0
respuesta,tarea,'ser que si este ser uno debate en persona , todo saber el respuesta a cada pregunta , y hablar hasta llegar a uno acuerdo ',0,0,4,5,5,2,3,0,4,2,0,0
positiva,socio-emocional,'ser uno bueno ejemplo el que dar jan ',1,1,2,1,2,1,0,0,0,0,0,0
positiva,socio-emocional,'este bastante bien ... q se yo . ',0,1,1,1,0,2,1,0,0,2,0,0
positiva,socio-emocional,'este bien ',0,0,1,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'estar bueno el respuesta . ',1,0,1,1,1,0,0,0,0,1,0,0
respuesta,tarea,'yo le retocar alguno conector , alguno detalle , pero no mucho mas . ',0,2,2,2,1,2,2,0,0,3,0,0
positiva,socio-emocional,'este bueno el que escribir matear ',1,0,2,0,2,1,0,0,0,0,0,0
positiva,socio-emocional,'estar lindo ese frase ',1,0,1,1,1,0,0,0,0,0,0,0
respuesta,tarea,'estar hablar a uno nivel más abstracto , no de aplicación ',1,2,1,2,2,0,0,0,2,1,0,0
respuesta,tarea,'estar ? ',0,0,0,0,1,0,0,0,0,1,0,0
respuesta,tarea,'estar intentar arreglar pero no toá el 1 ',0,1,1,1,3,0,1,0,0,0,1,0
positiva,socio-emocional,'estar ',0,0,0,0,1,0,0,0,0,0,0,0
positiva,socio-emocional,'estar ',0,0,0,0,1,0,0,0,0,0,0,0
positiva,socio-emocional,'estar ',0,0,0,0,1,0,0,0,0,0,0,0
positiva,socio-emocional,'hoy a el 7 este bien por mi ',0,1,3,1,0,0,0,0,2,0,1,0
positiva,socio-emocional,'i ama ',0,0,0,2,0,0,0,0,0,0,0,0
respuesta,tarea,'igual medio como q ser a el pedo , ser por ah ',1,1,1,2,2,0,2,0,2,1,0,0
positiva,socio-emocional,'joya entonces ',0,1,0,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'joya ',0,0,0,1,0,0,0,0,0,0,0,0
respuesta,tarea,'el y 1 el 2 ya estar ',0,1,2,0,1,0,1,0,0,0,2,0
respuesta,tarea,'leu también que decir que en prologá ser muy facial comparar objeto ... suponer que se referir a el mismo . ',2,1,1,3,6,1,3,0,2,2,0,0
respuesta,tarea,'listo , haber 5 ',0,0,0,0,1,0,0,1,0,1,1,0
pregunta,tarea,'ir a el 3 ? ',0,0,1,0,1,0,0,0,1,1,1,0
pregunta,tarea,'lo dejar así ? ',0,0,0,1,1,1,0,0,0,1,0,0
respuesta,tarea,'lo desarrollar uno poco y quedar buen_is_i_m_o ',0,1,1,0,2,2,1,0,0,0,0,0
respuesta,tarea,'el que este ah este bien ',0,0,3,2,0,1,0,0,0,0,0,0
respuesta,tarea,'mastín , si te parecer agregar el de mongol , da le nomás ',1,0,1,2,3,2,1,0,1,2,0,0
respuesta,tarea,'me gustar el diferencia que agregar dieno en el 1 a el final ',0,0,3,3,2,2,0,0,2,0,1,0
positiva,socio-emocional,'ser lo que le querer explicar ayer y no me dejar ? ',0,2,0,0,4,4,1,0,0,1,0,0
respuesta,tarea,'me gustar el ultimar oración ',0,0,1,1,2,1,0,0,0,0,0,0
respuesta,tarea,'me parecer bien ! ',0,1,0,0,1,1,0,0,0,1,0,0
respuesta,tarea,'me parecer que ah este , no encontró mucho información para respaldar me , pero así lo entender ',0,2,2,2,4,3,2,0,1,2,0,0
respuesta,tarea,'me parecer que este bien el que poner jan ',0,1,2,1,2,2,1,0,0,0,0,0
positiva,socio-emocional,'me sumar ',0,0,0,0,1,1,0,0,0,0,0,0
respuesta,tarea,'medio en criollo ',0,1,0,1,0,0,0,0,1,0,0,0
respuesta,tarea,'metamos le a el 3 así terminar y nos olvidar ',0,0,1,1,3,2,1,0,1,0,1,0
respuesta,tarea,'no , decir q por ah poner ese como q te ir de tema ',0,1,0,2,3,3,2,0,2,1,0,0
respuesta,tarea,'no ser el mismo buscar similitud que hacer uno analogía ',1,1,2,2,3,0,1,0,0,0,0,0
respuesta,tarea,'no importar , seguir ',0,1,0,0,2,0,0,0,0,1,0,0
respuesta,tarea,'no no pero me tirar uno idea de como modelar uno programa car ',1,2,2,2,2,1,2,0,1,0,0,0
respuesta,tarea,'nomás que en el tercero este en palabra mas normal ',2,0,2,2,0,0,2,0,2,0,0,0
respuesta,tarea,'ok nos encontrar a el 7 entonces ',1,1,1,0,1,1,0,0,1,0,1,0
positiva,socio-emocional,'okay ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'okay ah lo convertir y lo mandar ',0,2,0,0,2,2,1,0,0,0,0,0
respuesta,tarea,'osen para mi se referir si usar razonamiento basar en caso ',0,0,1,2,3,1,1,1,2,0,0,0
respuesta,tarea,'para mi caso similar generar diferencia en matches ',1,0,1,3,1,0,0,0,2,0,0,0
respuesta,tarea,'para mi ese seriar lo mismo que si lo hubiéramos hacer \" distribuir en el tiempo \" y no todo conectar ',1,1,2,1,5,4,3,0,2,2,0,0
respuesta,tarea,'para mi no tener nada de malo poner el verdad ',1,1,2,1,2,1,0,0,2,0,0,0
respuesta,tarea,'para mi no tener sentido el comparación por no ser el mismo grupo ',1,2,3,4,2,0,0,0,1,0,0,0
respuesta,tarea,'para mi prologá ser mas para lo de leonina machina . . ',1,0,1,2,1,1,1,0,3,2,0,0
respuesta,tarea,'para mi saber mas el que escribid ese en w_i_k_i_pedia ',1,0,2,1,1,2,1,0,2,0,0,0
respuesta,tarea,'para mi se poder tirar uno pseudocódigo ',0,0,2,1,2,1,0,0,1,0,0,0
positiva,socio-emocional,'para mi también ',0,0,1,0,1,0,0,0,1,0,0,0
respuesta,tarea,'para poder generalizar ',0,0,0,0,2,0,0,0,1,0,0,0
respuesta,tarea,'pasar a el 2 ',0,0,1,0,1,0,0,0,1,0,1,0
respuesta,tarea,'pensar en algo para responder en el 3 ) , capaz que ser fruto , pero ser el que se me ocurrid . ',1,0,2,2,4,5,1,0,3,4,1,0
positiva,socio-emocional,'ahora lo copiar a el dock ',0,1,1,1,1,1,0,0,1,0,0,0
respuesta,tarea,'pero esta en el hoja de el punto uno ',0,0,2,2,1,1,1,0,2,0,0,0
respuesta,tarea,'pero el definición ser hasta ahora \" en el cual se resolver nuevo problema basar en problema anterior que ser similar a este . \" ',3,2,3,3,4,3,1,0,3,3,0,0
respuesta,tarea,'pero el idea no ser hablar lo primero entre todo por acá ',0,2,1,2,2,2,1,0,2,0,0,0
