@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
respuesta,tarea,'Yo le retocaría algunos conectores, algún detalle, pero no mucho mas.'
positiva,socio-emocional,'esta bueno lo que escribiste mateo'
positiva,socio-emocional,'Está linda esa frase'
respuesta,tarea,'estamos hablando a un nivel más abstracto, no de aplicaciones'
respuesta,tarea,estamos?
respuesta,tarea,'estoy intentando arreglar pero no toq la 1'
positiva,socio-emocional,Estoy
positiva,socio-emocional,estoy
positiva,socio-emocional,estoy
positiva,socio-emocional,'hoy a las 7 esta bien por mi'
positiva,socio-emocional,'I am'
respuesta,tarea,'igual medio como q es al pedo, es por ahi'
positiva,socio-emocional,'joya entonces'
positiva,socio-emocional,joya
respuesta,tarea,'la y 1 la 2 ya están'
respuesta,tarea,'lei tambien que decia que en prolog era muy facil comparar objetos ... supongo que se referia a lo mismo.'
respuesta,tarea,'listo, hay 5'
pregunta,tarea,'vamos a la 3?'
pregunta,tarea,'lo dejamos asi?'
respuesta,tarea,'lo desarrollamos un poco y queda buenisimo'
respuesta,tarea,'lo que esta ahi esta bien'
respuesta,tarea,'martín, si te parece agregar lo de mongo, dale nomas'
respuesta,tarea,'me gustó la diferencia que agregó diego en el 1 al final'
positiva,socio-emocional,'es lo que les quería explicar ayer y no me dejaban ?'
respuesta,tarea,'me gusto la ultima oracion'
respuesta,tarea,'Me parece bien!'
respuesta,tarea,'me parece que ahi esta, no encontre mucha informacion para respaldarme, pero asi lo entiendo'
respuesta,tarea,'Me parece que esta bien lo que pusiste juan'
positiva,socio-emocional,'me sumo'
respuesta,tarea,'medio en criollo'
respuesta,tarea,'metamosle al 3 asi terminamos y nos olvidamos'
respuesta,tarea,'no, digo q por ahi poniendo eso como q te vas de tema'
respuesta,tarea,'No es lo mismo buscar similitudes que hacer una analogía'
respuesta,tarea,'no importa, sigamos'
respuesta,tarea,'no no pero me tiro una idea de como modelar un programa cbr'
respuesta,tarea,'nomas que en el tercerto esta en palabras mas normales'
respuesta,tarea,'ok nos encontramos a las 7 entonces'
positiva,socio-emocional,okaa
positiva,socio-emocional,'okas ahi lo convierto y lo mando'
respuesta,tarea,'osea para mi se refiere si usa razonamiento basado en casos'
respuesta,tarea,'para mi casos similares generan diferencia en matcheo'
respuesta,tarea,'para mi eso seria lo mismo que si lo hubieramos hecho \"distribuido en el tiempo\" y no todos conectados'
respuesta,tarea,'para mi no tiene nada de malo poner la verdad'
respuesta,tarea,'para mi no tiene sentido la comparacion porq no es el mismo grupo'
respuesta,tarea,'para mi prolog es mas para lo de lerning machin..'
respuesta,tarea,'para mi sabe mas el que escribio eso en wikipedia'
respuesta,tarea,'para mi se puede tirar un pseudocodigo'
positiva,socio-emocional,'para mi tambien'
respuesta,tarea,'para poder generalizar'
respuesta,tarea,'pasemos al 2'
respuesta,tarea,'Pensé en algo para responder en la 3), capaz que es fruta, pero es lo que se me ocurrio.'
positiva,socio-emocional,'Ahora lo copio al doc.'
respuesta,tarea,'pero estan en la hoja del punto uno'
respuesta,tarea,'pero la definicion era hasta ahora \" En el cual se resuelven nuevos problemas basados en problemas anteriores que sean similares a estos.\"'
respuesta,tarea,'pero la idea no era hablarlo primero entre todos por aca'
respuesta,tarea,'pero me suena a que era un problema concreto, hicieron un model ocon ia y lo solucionaron'
respuesta,tarea,'Pero no hay necesidad de que estemos todos conectados'
respuesta,tarea,'pero no podemos todos hacer todo, por mas que no estemos en el mismo instante?'
respuesta,tarea,'pero para ir deduciendo alguna definicion voy intentando distinguir bien entre uno y otro'
respuesta,tarea,'pero queria armar tipo una oracion que lo mencione antes'
respuesta,tarea,'por ahi eso es mas de implementacion'
respuesta,tarea,'por ahi eso q dicen se podria utilizar con mongoDB'
respuesta,tarea,'por lo que entendi lo hace viendo si hace matching'
respuesta,tarea,'por lo que lei y lo que decia en ese libro se puede, pero no funciona para todo, hay muchos casos que no funcionan ya que no puede razonar igual que una persona y en esos casos falla'
respuesta,tarea,'por mi seguimos con los demás. si despues vemos que se puede agregar algo mas lo hacemos'
respuesta,tarea,'porq dice q impracticable probar caso por caso'
respuesta,tarea,'porq es más o menos la definición'
respuesta,tarea,'porq yamil agrego eso al principio capaz q tendriamos q esperar a qe lea'
respuesta,tarea,'porque la utilidad de esto es cuando hay pocas cosas que se repiten mucho, y eso es al reves'
respuesta,tarea,'porque nadie quiere seguir'
respuesta,tarea,'porque queda como que los 4 pasos son del aprendizaje incremental'
respuesta,tarea,'porque se me hace mas machine learning que CBR'
respuesta,tarea,'puse lo que sinceramente creo'
pregunta,tarea,'que irian antes de..en resumen y listo'
respuesta,tarea,'quedo joya ya esta'
respuesta,tarea,'Quedo muy bien explicado'
pregunta,tarea,'se me ocurrio algo asi para la 1 pero nose que les parece...'
positiva,socio-emocional,'si a mi tmb'
positiva,socio-emocional,'si ahi estaria creo'
positiva,socio-emocional,'si calculo que si'
positiva,socio-emocional,'si creo q si'
positiva,socio-emocional,'Si Diego y Matias tambien pueden si'
positiva,socio-emocional,'si estaria bien agregar eso'
positiva,socio-emocional,'si lo del nene esta bien'
positiva,socio-emocional,'si, me duermo pero sigo asi lo terminamos'
positiva,socio-emocional,'si para mi si'
respuesta,tarea,'si pero igual todos hicimos el uno'
positiva,socio-emocional,'si posta...'
pregunta,tarea,'Si quedo bien, no se si habra que entrar un poco mas en detalle o ya estaria'
respuesta,tarea,'si querés hacelo y después vemos, recordá que un programa basado en reglas que se modifica a si mismo no es cbr'
respuesta,tarea,'si un libro te respalda esta bien, yo creia que no se podia'
positiva,socio-emocional,'si yo encontre lo mismo'
respuesta,tarea,'si, pero para mi faltaria desarrollar un poco la persona con los sintomas que esta muy bueno el ejemplo'
respuesta,tarea,'si, pero uno de los ejercicios del practico 3 era una base de datos de sinonimos'
respuesta,tarea,'sii mandalo asi'
respuesta,tarea,'sino hay poner qe anda pero falla si la base de datos es muy grande pq prolog no lo soporta'
positiva,socio-emocional,'sisi creo q si'
positiva,socio-emocional,sisi
positiva,socio-emocional,sisi
respuesta,tarea,'tambien lei 2'
positiva,socio-emocional,'todos de acuerdo y contentos'
respuesta,tarea,'un traductor tambien'
respuesta,tarea,'vamos por la 2?'
pregunta,tarea,'voy tirando lineas en el 2?'
pregunta,tarea,'y despues pasarlo?'
respuesta,tarea,'y en la 3 sinceramente creo que se puede, por como es prolog, aunque no creo que sea algo fácil de realizar'
respuesta,tarea,'y hacemos un merge con los que tienen una respuesta correcta'
respuesta,tarea,'y lo de las etapas iria en la uno me parece'
negativa,socio-emocional,'Y los buchonee porque yo no puedo deshacer lo que ustedes hicieron, solamente puedo ver el revision history y quién modificó qué cosa'
pregunta,tarea,'y se parece al aprendizaje de maquinas?'
respuesta,tarea,'ya estaria para mandarlo parece'
respuesta,tarea,'yo crei que buscaba un hecho o regla que matcheara, y de todos se quedaría con el mejor (eso calculo que con una heuristica o algo)'
respuesta,tarea,'Yo creo q si'
respuesta,tarea,'yo creo qeu es bastante cortita, porque es lo que generalmente hacemos nosotros con problemas en la vida cotidiana'
pregunta,tarea,'yo estoy terminando de leer unas cosas'
positiva,socio-emocional,'yo lo mando si quieren'
positiva,socio-emocional,'yo no tengo casi nada de drama de horarios esta semana'
respuesta,tarea,'yo no tengo más que aportar, creo que sí pero no puedo probarlo por más papers que lea, y no voy a hacer un código'
respuesta,tarea,'a eso me referia con lo de prolog bla bla'
respuesta,tarea,'a ver así, mirá'
respuesta,tarea,acuerdense
respuesta,tarea,'ahi en el documento que linkee hay un ejemplo de como lo usa para detectar problemas con una foto dada'
respuesta,tarea,'ahora estaba leyendo esto: https://stackoverflow.com/questions/18822489/is-prolog-not-considered-an-artificial-intelligence-tool'
respuesta,tarea,'Analogía,significa comparación o relación entre varias razones o conceptos; comparar o relacionar dos o más seres u objetos, a través de la razón, señalando características generales y particulares, generando razonamientos basados en la existencia de semejanzas entre estos, aplicando a uno de ellos una relación o una propiedad que está claramente establecida en el otro.'
respuesta,tarea,'así que nada, solo queda el 3 y ya puse todo lo que se/creo,pueden borrarlo, sacarlo, editarlo, lo que quieran'
respuesta,tarea,'Bien, para el 2) lei que esta tecnica se puede usar para mineria de datos y procesamiento de lenguaje natural'
respuesta,tarea,'buenisimo, y en la wikipedia tmb dice del modelo de negocio y de educacion a distancia'
respuesta,tarea,'bueno, si se quieren sacar las ganas, leean en la wiki: https://en.wikipedia.org/wiki/Case-based_reasoningComparisons to other methods'
respuesta,tarea,'Cuando descubre que un caso no es util para el problema actual, aprende por falla.'
respuesta,tarea,'Y eso con prolog quizas se podria hacer con fail, detectando que caso explicito falla'
respuesta,tarea,'de aca diego: http://campusv.uaem.mx/cicos/cicos2009/imagenes/memorias/6tocicos2008/Articulos/articulo11.pdf'
respuesta,tarea,'de wikipeia'
respuesta,tarea,'Diego, ahí acomodé lo de arriba porque no se estaba diciendo qué se modificaba y de dónde se sacaba'
respuesta,tarea,'El aprendizaje de maquinas usa una base de datos, pero tiene casos especificos.'
respuesta,tarea,'Este tema nuevo relaciona datos obtenidos de experimentos similares.'
positiva,socio-emocional,'No se si \"aprende\" como la machine learning.'
respuesta,tarea,'Cuesta explicar esto'
respuesta,tarea,'El Razonamiento basado en casos se basa en la forma de razonamiento humano, y el uso de la memoria.'
respuesta,tarea,'La memoria permite relacionar el presente'
respuesta,tarea,'el tema es q en prolog te va a tirar un si o un no en el caso de ser una situacion igual a una anterior.. si cambia un poquito te tira un no y en ese momento agregas todo otra vez y vas a tener siuaciones muy parecidas pero distintas'
respuesta,tarea,'En el cual se resuelven nuevos problemas basados en problemas anteriores que sean similares a estos.'
respuesta,tarea,'en el grupo con el que hice el primer TP lo hicimos, debatimos todo y despues uno escribia, no es dificil...'
respuesta,tarea,'en el link que djee de wikipedia hay unos ejemplos pero no son orientas a la computacion.'
respuesta,tarea,'En realidad todo lo que es relacionado A AI les va a sonar similar, porque son campos que si no te metés en detalle son muy parecidos'
respuesta,tarea,'en wikipedia te tira algunos en el primer parrafo'
respuesta,tarea,'Es como una persona Diego'
respuesta,tarea,'es más fácil de escribir'
respuesta,tarea,'Es una técnica de la inteligencia artificial que busca soluciones a nuevos problemas, de manera similar a una persona.'
respuesta,tarea,'Cuando una persona debe resolver un nuevo problema lo primero que hace es buscar en su memoria experiencias anteriores que sean parecidas a la actual y en ese momento establece similitudes y diferencias y combina las soluciones dadas anteriormente para lograr una solución nueva.'
respuesta,tarea,'estaba hablando con otro amigo y le pasaba lo mismo a su grupo..'
respuesta,tarea,'Figuran Eddie y José en el momento en que se perdieron todos los formatos'
respuesta,tarea,http://catarina.udlap.mx/u_dl_a/tales/documentos/msp/posada_t_n/capitulo3.pdf
respuesta,tarea,http://en.wikipedia.org/wiki/CLIPS
respuesta,tarea,http://es.wikipedia.org/wiki/Razonamiento_basado_en_casos#SE_basados_en_casos
respuesta,tarea,'http://soda.swedish-ict.se/2478/1/T91_16.pdf en la pag 22'
respuesta,tarea,http://soda.swedish-ict.se/2478/1/T91_16.pdf
respuesta,tarea,http://soda.swedish-ict.se/2478/1/T91_16.pdf
respuesta,tarea,'http://www.academia.edu/2865916/Detecci\%C3\%B3n_de_impactos_mediante_razonamiento_basado_en_conocimiento_Aplicaci\%C3\%B3n_a_una_secci\%C3\%B3n_de_ala_de_avi\%C3\%B3n'
respuesta,tarea,http://www.cs.unm.edu/~luger/ai-final/code/PROLOG.exshell.html
respuesta,tarea,https://groups.google.com/forum/#!topic/comp.ai/pCDmCM8CjV8
respuesta,tarea,'Igualmente si querés, podés decir que los algoritmos de ML que se basan en inducción de reglas se parecen a CBR'
respuesta,tarea,'la definicion de analogia en la logica es un toque distinta'
respuesta,tarea,'lei que usa un metodo heuristico para analizar un caso'
respuesta,tarea,'les doy un ejemplo para la segunda, las aplicaciones te teclados para los telefonos inteligentes, que te van armando la frase a medida que lo vas usando'
respuesta,tarea,'lo deje un toque mas bonito y le puse la primera hoja controlen los nombre'
respuesta,tarea,'lo hicieron re pegado'
respuesta,tarea,'lo que tiene de bueno, o a diferencia del resto que se puede destacar de razonamiento basado en casos, es que se basa en los ejemplos anteriores para saber como actuar frente a uno nuevo, y si sabe como hacerlo lo resuelve, y lo guarda en su memoria.'
respuesta,tarea,'En otros creo que si no sabe no lo resuelve, o tienen algunos mecanismos para poder deducir, o actuar frente a distintas circunstancias, a veces no arrancan con casos directamente, sino con premisas, o reglas, o ejemplos contundentes'
negativa,socio-emocional,'Los problemas de levantarme a las 6'
respuesta,tarea,'me aparecian como q estaban todos conectados abajo... pero escribi y desaparecieron'
negativa,socio-emocional,'me estoy durmiendo tambien jaja y me tengo q bañar todavia XD'
respuesta,tarea,'miren, segun esto prolog ES RBC'
respuesta,tarea,'No te enrosques con eso, como definición eso a mi no me importa.'
respuesta,tarea,'Ya sabemos que es como una persona que mira problemas resueltos anteriores tratando de resolver uno similar, y si lo resuelve se lo acuerda para poder utilizarlo en el futuro.. fin'
respuesta,tarea,'Para el 2 estaba pensando ir a lo sencillo y con ejemplos no tan locos.'
respuesta,tarea,'para mi ahi esta, solo falta poner que la similitud juega un rol fundamental'
respuesta,tarea,'para mi la relacion con una persona esta buena para dar un ejemplo del concepto. yo la usaria'
respuesta,tarea,'pero a lo que iba es que las soluciones uqe les pasas'
respuesta,tarea,'pero la idea es que si es distinta adaptarla y agregarla adaptada'
respuesta,tarea,'pero no se CUANDO, si las hace antes o después de tener el problema, que es precisamente lo que diferencia a machine learning con induced rules de cbr'
respuesta,tarea,'pero no sé si hacce falta poner eso'
respuesta,tarea,'Podemos decir que lo hace mediante 4 pasos'
respuesta,tarea,'Por el sistema de agregar notas en cada punto puede andar bien, para \"debatir\" en off, pero todos a la vez'
respuesta,tarea,'por eso en otros articulos se decia que prolog no era lo mas fuerte para implementar este tipo de razonamiento, si bien se puede no es el mejor'
respuesta,tarea,'Prolog es un lenguaje turing completo y sirve más para AI que muchos lenguajes eh, osea te da más facilidad'
respuesta,tarea,'que es como que la base de datos la va creando incrementalmente con sus propias soluciones'
positiva,socio-emocional,'Recien pude conectarme, estuve todo el dia fuera de casa, Y mañana voy a estar en la misma, pero si mañana se conectan todos a esa hora voy a tratar de estar.'
respuesta,tarea,'si en realidad eso es lo que lei en un articulo y desp lo lleva a la inteligencia aritficial como algo asi'
respuesta,tarea,'Sí, de hecho fué creado con intenciones de ser aplicado en el campo de la Inteligencia Artificial, y Machine Learning es una de las tantas maneras de acercarse a la AI.'
respuesta,tarea,'Las propiedades de meta-programación que tiene Prolog permiten desarrollar programas en prolog que en base a eventos (que éstos a su vez están basados en consecuencia de interpretar algún tipo de información) permitan modificarse a si mismos o incluso a otros programas en prolog.'
respuesta,tarea,'si, para mi habria que poner lo que dice el ultimo link, el 5.1'
respuesta,tarea,'suponete una base de datos de un hospital.'
respuesta,tarea,'Bajo una serie de casos con determinados sintomas se dieron tales tratamientos con tales resultados.'
respuesta,tarea,'Entonces el usuario que usa CBR ingresa los sintomas y le retorna esos resultados posibles.'
respuesta,tarea,'suponiendo que corrija frases con tiempos vervales y eso..'
respuesta,tarea,'ver algo que ya paso'
negativa,socio-emocional,'wtf, eso fue lo que puse antes 2 veces, le agregaste paréntesis nomás jajaa'
respuesta,tarea,'y hacemos una puesta en comun'
pregunta,tarea,'y pseudocodigueandolo?'
respuesta,tarea,'Ya habíamos decidido, nos juntabamos a esta hora a debatir las respuestas que cada uno había pensado para cada incizco'
pregunta,tarea,'yo encontre esto de un a tesis haber q les parece'
respuesta,tarea,'yo esa frase ni la pondría'
respuesta,tarea,'pero si les gusta acomodenla'
negativa,socio-emocional,'yo no toqué nada, entre vos y josé figuran todos los edits, solo aparece que Diego puso una imágen'
respuesta,tarea,'yo sacaria lo de \"Podemos decir entonces...\"'
respuesta,tarea,'Yo usaría memoria'
negativa,socio-emocional,'Yo viajo el Viernes, pero después tengo disponibilidad dentro de todo...'
pregunta,tarea,'ah pero quien agregó esa frase?'
pregunta,tarea,'ah q hs??'
respuesta,tarea,'bueno, esperemos a ver que opina el resto, si quieren retoquen algo, lo escribi como lo pense jaja'
pregunta,tarea,'Che, lo del control de procesos de donde salió?'
positiva,socio-emocional,'demostramelo jaja'
pregunta,tarea,'después cuándo?'
pregunta,tarea,'donde AI significa inteligencia artificial no?'
pregunta,tarea,'el q es al pedo leer de eso o agregarlo?'
pregunta,tarea,'en la de el medico vs decis poner algo como que se sabe la enfermedad por esos mismos sintomas de otras enfermedades anteriores de otros pacientes ponele'
pregunta,tarea,'esas soluciones de donde salieron?'
pregunta,tarea,'eso lo guarda?'
pregunta,tarea,'estas viendo el doc?'
respuesta,tarea,'fijense, en el parrafo 3, la ultima oracion que agregue'
pregunta,tarea,'Hola diego lo mandaste??'
positiva,socio-emocional,'jaja a ver'
positiva,socio-emocional,'jajaja a ver'
respuesta,tarea,'laura, si a vos te parecen bien las modificaciones q hizo, ponemos aceptar los cambios y listo'
pregunta,tarea,'no hiciste el TP1?'
pregunta,tarea,'No podemos borrar el chat y la catedra lo puede leer ?'
pregunta,tarea,'no se qué poner más de lo que ya puse en la 3'
pregunta,tarea,'perdieron todo el formato de lo que hicieron'
pregunta,tarea,'pero esas soluciones, quien soluciono eso antes?'
pregunta,tarea,'que escribo?'
pregunta,tarea,'quien está romiendo todo'
pregunta,tarea,'renzo no está no ?'
respuesta,tarea,'revise si testea a ver si está bien lo q flashamos'
pregunta,tarea,'todavia no dejaron el trabajo no? xq no lo encuentro en la pagina'
pregunta,tarea,'un corrector de sintaxis seria RBC?'
pregunta,tarea,'ustedes lo releyeron todo?'
pregunta,tarea,'vos decis lo que esta en rojo?'
respuesta,tarea,'ah, pero si Mateo viaja a la tarde y podemos hacerlo antes también'
pregunta,tarea,'pueden antes de las 5? para que estemos todos digo'
pregunta,tarea,'ahi lo acomode haber si les gusta'
pregunta,tarea,'ahora estan al pedo??? casi estamos todos'
pregunta,tarea,'bueno la dejamos ahi y agregamos las 4 etapas?'
pregunta,tarea,'bueno tipo 7 pueden?'
pregunta,tarea,'bueno, les parece mañana a las 5 de nuevo? por las dudas'
pregunta,tarea,'bueno, si quieren pongo eso y le van agregando'
pregunta,tarea,'che cortamos a la una?'
pregunta,tarea,'el primer parrafo y el tercero son parecidos, podemos hacer uno de esos 2'
respuesta,tarea,'El Razonamiento Basado en Casos es una tecnica de resolución de problemas que se apoya en la premisa de que problemas parecidos tendran soluciones semejantes, basándose en las soluciones de problemas anteriores, mediante analogias, etc.'
pregunta,tarea,'estamos de acuerdo que es un paradigma no?'
pregunta,tarea,'habria q ponerlas, q les parecce?'
pregunta,tarea,'habria q ver q dice bruno'
positiva,socio-emocional,'igual te quiero, loquito pero te quiero'
pregunta,tarea,'leiste lo q esta en el doc?'
pregunta,tarea,'les parece conectarse de nuevo mañana a algun horario para ver si nos ponemos de acuerdo y lo mandamos?'
pregunta,tarea,'les parece mañana tipo 5?'
pregunta,tarea,'les parece si la vamos escribiendo en el documento?'
pregunta,tarea,'Les queda bien mañana a las 14hs??'
pregunta,tarea,'lo mando si queres'
pregunta,tarea,'mas tarde pueden??'
pregunta,tarea,'no les parece que esta como redundante eso?'
pregunta,tarea,'no se porque te parecio erroneo, si esta mal lo cambiamos'
respuesta,tarea,'no se puede adaptar para este trabajo'
pregunta,tarea,'nose q dicen'
respuesta,tarea,'o sea que para la 3 podria ser que alcance con utilizar inteligencia artificial para hacer con javalog RBC'
pregunta,tarea,'pero les parece mal lo de analogia?'
respuesta,tarea,'podriamos usar los ejemplos de inteligencia artificial'
respuesta,tarea,'por ahi lo podemos hacer con un member y un append'
pregunta,tarea,'que les parece la del niño?'
pregunta,tarea,'se puede arreglar eso?'
pregunta,tarea,'se puede borrar este chat despues?'
pregunta,tarea,'si queres lee lo que hicimos y decinos que te parece'
pregunta,tarea,'si quieren lo pongo en la segunda'
pregunta,tarea,'una diferencia en el matcheo no se podria solucionar con casos similares?'
respuesta,tarea,'y desp podemos llevar ese concepto a la intel artificial..nose digo'
respuesta,tarea,'y dps los demas lo leen y mejoran lo q les parece'
pregunta,tarea,'y no podemos adaptarlo?'
pregunta,tarea,'y si dejamos las 3 primeras?'
respuesta,tarea,'yo si para las 7 nadie dice de cambiar nada lo mando'
pregunta,tarea,'a que hs podes??'
pregunta,tarea,'A que hs pueden?'
respuesta,tarea,'Ahí hice unos cambios pequeñísimos, alguna que otra palabra.'
respuesta,tarea,'En general me gusta como está todo el TP.'
pregunta,tarea,'Quieren ya mandarlo?'
pregunta,tarea,'bueno como hacemos'
pregunta,tarea,'bueno, dejamos la 3 para mañana?'
pregunta,tarea,'Bueno, tiramos ideas para el punto 2?'
pregunta,tarea,'Cómo quieren ir trabajando?'
pregunta,tarea,'cuando pueden conectarse?'
pregunta,tarea,'el viernes en que horario pueden??'
pregunta,tarea,'en algun momento nos conectamos para terminar??'
pregunta,tarea,'entonces la dejamos?'
pregunta,tarea,'entonces pongo lo de las personas o no?'
pregunta,tarea,'no cerramos el uno con una comparacion con machine learning?'
pregunta,tarea,'seguimos despues?'
pregunta,tarea,'tiene sentido compararlos?'
pregunta,tarea,'vamos a encarar la definicion partiendo del machine learning?'
pregunta,tarea,'y nos juntamos mañana a la noche entonces?'
pregunta,tarea,'ya les parece que lo mande entonces?'
positiva,socio-emocional,'buenas! como va??'
positiva,socio-emocional,'buenas, no sabía que se podía chatear por aca.'
positiva,socio-emocional,Buenisimo
pregunta,tarea,'que hacemos? yo tenía pensado que cada uno responda, marcando una sección con su nombre.'
respuesta,tarea,'Y podríamos despues fusionar las respuestas o algo asi'
positiva,socio-emocional,'yo si quieren hago la primera'
pregunta,tarea,'ahh decis responder las 3 cada uno y despues mezclar'
respuesta,tarea,'para mi seria mas simple si dividimos el punto 2(repartiendo las 3 aplicaciones para cada uno) mas el punto 1 y 3, serian 5 uno para cada uno'
positiva,socio-emocional,'Hola chicos, como estan?'
respuesta,tarea,'Como vieron ya nos dieron el primer TP.'
respuesta,tarea,'Les escribía para ir poniendonos en contacto e ir viendo cuando les parece que lo empecemos a hacer.'
positiva,socio-emocional,'Saludos, Cristian.'
pregunta,tarea,'Sisi lo lei, hay que ir a buscar algo a la biblio?'
positiva,socio-emocional,'Yo mañana voy a ir a la facu'
respuesta,tarea,'Creo que la idea es que hablemos por el chat del doc como para ver cómo se desenvuelve cada uno .'
respuesta,tarea,'Me parece que apuntan a eso'
pregunta,tarea,'Cuando quieran arrancamos'
respuesta,tarea,'Bueno, si quieren vamos subiendo info al documento, lo discutimos y de ultima nos juntamos un dia en la biblio'
positiva,socio-emocional,'Yo justo estoy yendo porque tengo que buscar unas cosas, de paso me fijo si hay algo en la biblioteca.'
pregunta,tarea,'No se si vieron lo que puse en el chat del doc ayer'
negativa,socio-emocional,'No se ve nada en el chat del documento.'
negativa,socio-emocional,'No se si yo soy el gil que no sabe como verlo o es que solo funciona mientras que cuando estamos en el mismo momento sobre el documento.'
respuesta,tarea,'El chat lo pueden ver sólo las personas que están en el momento que otro escribe'
respuesta,tarea,'por eso no lo vemos'
pregunta,tarea,'Les parece hacer así como puse?'
positiva,socio-emocional,'Ah bueno.'
pregunta,tarea,'Deje escrito en el documento, fijense que opinan'
positiva,socio-emocional,'Ahi lei lo que pusiste, me parece bien.'
positiva,socio-emocional,'Luego subo mi parte'
respuesta,tarea,'Dale, lo que subí yo lo estuvimos haciendo con Aye en la biblioteca.'
respuesta,tarea,'Si tienen algo para poner vayan poniéndolo y vamos viendo'
negativa,socio-emocional,'Lo ideal era que esta discusión se desarrolle en le Google Docs'
negativa,socio-emocional,'Y evitar las reuniones personales en la biblioteca !'
positiva,socio-emocional,'Ah, pido disculpas. no sabíamos !'
respuesta,tarea,'Igual el encuentro fue casual porque fuimos a buscar bibliografía.'
respuesta,tarea,'Vamos a seguir directo por google docs entonces'
respuesta,tarea,'Deben usar este chat-room todos juntos, no por separado..'
pregunta,tarea,'Entonces la idea es pactar una hora donde estemos todos juntos para discutir y resolver el trabajo?'
respuesta,tarea,'Todos deben usar esta sala debido a problemas que estuvieron reportando sobre el otro chat otros grupos.'
respuesta,tarea,'Es la alternativa al otro chat.'
respuesta,tarea,'La resolución y organización deben resolverlo ustedes'
respuesta,tarea,'Ahh, yo también interpreté que debíamos estar todos conectados al mismo tiempo en el chat.'
pregunta,tarea,'Eso no es necesario, no?'
pregunta,tarea,'El msj es genérico?'
negativa,socio-emocional,'Porque lo estábamos usando bien (a mi entender)'
respuesta,tarea,'Chicos, en el documento agregue un apartado en donde iría la respuesta final, sacando lo mejor de cada respuesta individual.'
respuesta,tarea,'Ya completé algo, los que quieran revisenlo.'
respuesta,tarea,'Esa parte la podemos ir modificando todos (aclarando los cambios) así vamos definiendo las respuestas.'
pregunta,tarea,'Que les parece ?'
positiva,socio-emocional,'Cuando llegue a casa lo leo'
respuesta,tarea,'yo en mi parte habia redactado la información que tenias en tu parte'
positiva,socio-emocional,'Cuando esté en la compu comento'
respuesta,tarea,'Ahí comente el doc'
respuesta,tarea,'Agregue información al ejercicio 2 (profundice sobre diagnósticos médicos, y algo de INFO general), y la pregunta 3.'
pregunta,tarea,'Fijense que opinan, deje las fuentes también.'
respuesta,tarea,'Quedaría profundizar dos aplicaciones mas'
respuesta,tarea,'Aye, acabo de ver tu comentario del ejemplo del diagnostico médico con imágenes.'
respuesta,tarea,'Esta bueno, no lo habia leido.'
respuesta,tarea,'Si querés agregalo así no nos olvidamos, yo ahora estoy desde el teléfono y no puedo'
positiva,socio-emocional,'Aaa no hay problema ahora veo donde lo agregamos y si queda bien'
respuesta,tarea,'Si pueden guarden las fuentes de donde sacan todos, por si ponemos bibliografía al final del trabajo'
positiva,socio-emocional,Genial
respuesta,tarea,'En la parte de respuestas generales ya están las 3 preguntas resueltas.'
respuesta,tarea,'Solamente queda revisar'
positiva,socio-emocional,'Genial yo después lo leo y comento lo que me parece'
respuesta,tarea,'Ya esta el apartado de bibliografía y le agregue las fuentes que usé yo.'
respuesta,tarea,'El que tenga papers/libros de donde saco la información vaya poniéndolas ahí'
positiva,socio-emocional,'Buenisimo ahora lo miro'
respuesta,tarea,'Chicos, borre todo lo individual y deje las respuestas finales, cosa de que vaya quedando listo para entregar.'
respuesta,tarea,'Antes de esto, por las dudas les envíe una copia del documento donde esta todo'
positiva,socio-emocional,Genial
positiva,socio-emocional,Barbaro
respuesta,tarea,'Lo relei y me parece que quedo bien, me gusto'
positiva,socio-emocional,'Si, yo tambien lo estuve leyendo de nuevo.'
respuesta,tarea,'No creó que haga falta agregar mas'
respuesta,tarea,'Acabo de terminar de leerlo'
respuesta,tarea,'Creo que no tiene errores de redacción, para mi ya esta listo'
respuesta,tarea,'Por eso, quedo bien estructurado y todo.'
positiva,socio-emocional,Buenissssimo
pregunta,tarea,'Ahora lo entrego entonces si les parece'
respuesta,tarea,'Estoy terminando de corregir unas cosas y agregar unas url'
respuesta,tarea,'Para mi esta perfecto'
respuesta,tarea,'Lo acabo de mandar, les debería llegar una copia a todos'
respuesta,tarea,'Sisi a mi me llego'
respuesta,tarea,'Si, a mi tambien me llego'
respuesta,tarea,'Ah me falto agregar los integrantes en el documento.'
positiva,socio-emocional,'En un rato lo reenvío'
respuesta,tarea,'No creo que haga falta'
respuesta,tarea,'Si, me llego un mail diciendo eso'
positiva,socio-emocional,'ahora lo agrego'
positiva,socio-emocional,'Aaaa esta bien :)'
respuesta,tarea,'Ya lo mandé'
positiva,socio-emocional,Genial
positiva,socio-emocional,(Y)
positiva,socio-emocional,'Hola chicos, soy Sofía Muñoz.'
positiva,socio-emocional,'Me gusta la idea de acordar un día y horario para conectarnos todos.'
respuesta,tarea,'Lo ideal sería que cada uno vaya leyendo e investigando un poco para poder intercambiar opiniones.'
respuesta,tarea,'Yo también rindo el miércoles, pero después de las 5 ya puedo.'
