@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
socio-emocional,'Si Diego y Matias tambien pueden si'
socio-emocional,'si estaria bien agregar eso'
socio-emocional,'si lo del nene esta bien'
socio-emocional,'si, me duermo pero sigo asi lo terminamos'
socio-emocional,'si para mi si'
tarea,'si pero igual todos hicimos el uno'
socio-emocional,'si posta...'
tarea,'Si quedo bien, no se si habra que entrar un poco mas en detalle o ya estaria'
tarea,'si querés hacelo y después vemos, recordá que un programa basado en reglas que se modifica a si mismo no es cbr'
tarea,'si un libro te respalda esta bien, yo creia que no se podia'
socio-emocional,'si yo encontre lo mismo'
tarea,'si, pero para mi faltaria desarrollar un poco la persona con los sintomas que esta muy bueno el ejemplo'
tarea,'si, pero uno de los ejercicios del practico 3 era una base de datos de sinonimos'
tarea,'sii mandalo asi'
tarea,'sino hay poner qe anda pero falla si la base de datos es muy grande pq prolog no lo soporta'
socio-emocional,'sisi creo q si'
socio-emocional,sisi
socio-emocional,sisi
tarea,'tambien lei 2'
socio-emocional,'todos de acuerdo y contentos'
tarea,'un traductor tambien'
tarea,'vamos por la 2?'
tarea,'voy tirando lineas en el 2?'
tarea,'y despues pasarlo?'
tarea,'y en la 3 sinceramente creo que se puede, por como es prolog, aunque no creo que sea algo fácil de realizar'
tarea,'y hacemos un merge con los que tienen una respuesta correcta'
tarea,'y lo de las etapas iria en la uno me parece'
socio-emocional,'Y los buchonee porque yo no puedo deshacer lo que ustedes hicieron, solamente puedo ver el revision history y quién modificó qué cosa'
tarea,'y se parece al aprendizaje de maquinas?'
tarea,'ya estaria para mandarlo parece'
tarea,'yo crei que buscaba un hecho o regla que matcheara, y de todos se quedaría con el mejor (eso calculo que con una heuristica o algo)'
tarea,'Yo creo q si'
tarea,'yo creo qeu es bastante cortita, porque es lo que generalmente hacemos nosotros con problemas en la vida cotidiana'
tarea,'yo estoy terminando de leer unas cosas'
socio-emocional,'yo lo mando si quieren'
socio-emocional,'yo no tengo casi nada de drama de horarios esta semana'
tarea,'yo no tengo más que aportar, creo que sí pero no puedo probarlo por más papers que lea, y no voy a hacer un código'
tarea,'a eso me referia con lo de prolog bla bla'
tarea,'a ver así, mirá'
tarea,acuerdense
tarea,'ahi en el documento que linkee hay un ejemplo de como lo usa para detectar problemas con una foto dada'
tarea,'ahora estaba leyendo esto: https://stackoverflow.com/questions/18822489/is-prolog-not-considered-an-artificial-intelligence-tool'
tarea,'Analogía,significa comparación o relación entre varias razones o conceptos; comparar o relacionar dos o más seres u objetos, a través de la razón, señalando características generales y particulares, generando razonamientos basados en la existencia de semejanzas entre estos, aplicando a uno de ellos una relación o una propiedad que está claramente establecida en el otro.'
tarea,'así que nada, solo queda el 3 y ya puse todo lo que se/creo,pueden borrarlo, sacarlo, editarlo, lo que quieran'
tarea,'Bien, para el 2) lei que esta tecnica se puede usar para mineria de datos y procesamiento de lenguaje natural'
tarea,'buenisimo, y en la wikipedia tmb dice del modelo de negocio y de educacion a distancia'
tarea,'bueno, si se quieren sacar las ganas, leean en la wiki: https://en.wikipedia.org/wiki/Case-based_reasoningComparisons to other methods'
tarea,'Cuando descubre que un caso no es util para el problema actual, aprende por falla.'
tarea,'Y eso con prolog quizas se podria hacer con fail, detectando que caso explicito falla'
tarea,'de aca diego: http://campusv.uaem.mx/cicos/cicos2009/imagenes/memorias/6tocicos2008/Articulos/articulo11.pdf'
tarea,'de wikipeia'
tarea,'Diego, ahí acomodé lo de arriba porque no se estaba diciendo qué se modificaba y de dónde se sacaba'
tarea,'El aprendizaje de maquinas usa una base de datos, pero tiene casos especificos.'
tarea,'Este tema nuevo relaciona datos obtenidos de experimentos similares.'
socio-emocional,'No se si \"aprende\" como la machine learning.'
tarea,'Cuesta explicar esto'
tarea,'El Razonamiento basado en casos se basa en la forma de razonamiento humano, y el uso de la memoria.'
tarea,'La memoria permite relacionar el presente'
tarea,'el tema es q en prolog te va a tirar un si o un no en el caso de ser una situacion igual a una anterior.. si cambia un poquito te tira un no y en ese momento agregas todo otra vez y vas a tener siuaciones muy parecidas pero distintas'
tarea,'En el cual se resuelven nuevos problemas basados en problemas anteriores que sean similares a estos.'
tarea,'en el grupo con el que hice el primer TP lo hicimos, debatimos todo y despues uno escribia, no es dificil...'
tarea,'en el link que djee de wikipedia hay unos ejemplos pero no son orientas a la computacion.'
tarea,'En realidad todo lo que es relacionado A AI les va a sonar similar, porque son campos que si no te metés en detalle son muy parecidos'
tarea,'en wikipedia te tira algunos en el primer parrafo'
tarea,'Es como una persona Diego'
tarea,'es más fácil de escribir'
tarea,'Es una técnica de la inteligencia artificial que busca soluciones a nuevos problemas, de manera similar a una persona.'
tarea,'Cuando una persona debe resolver un nuevo problema lo primero que hace es buscar en su memoria experiencias anteriores que sean parecidas a la actual y en ese momento establece similitudes y diferencias y combina las soluciones dadas anteriormente para lograr una solución nueva.'
tarea,'estaba hablando con otro amigo y le pasaba lo mismo a su grupo..'
tarea,'Figuran Eddie y José en el momento en que se perdieron todos los formatos'
tarea,http://catarina.udlap.mx/u_dl_a/tales/documentos/msp/posada_t_n/capitulo3.pdf
tarea,http://en.wikipedia.org/wiki/CLIPS
tarea,http://es.wikipedia.org/wiki/Razonamiento_basado_en_casos#SE_basados_en_casos
tarea,'http://soda.swedish-ict.se/2478/1/T91_16.pdf en la pag 22'
tarea,http://soda.swedish-ict.se/2478/1/T91_16.pdf
tarea,http://soda.swedish-ict.se/2478/1/T91_16.pdf
tarea,'http://www.academia.edu/2865916/Detecci\%C3\%B3n_de_impactos_mediante_razonamiento_basado_en_conocimiento_Aplicaci\%C3\%B3n_a_una_secci\%C3\%B3n_de_ala_de_avi\%C3\%B3n'
tarea,http://www.cs.unm.edu/~luger/ai-final/code/PROLOG.exshell.html
tarea,https://groups.google.com/forum/#!topic/comp.ai/pCDmCM8CjV8
tarea,'Igualmente si querés, podés decir que los algoritmos de ML que se basan en inducción de reglas se parecen a CBR'
tarea,'la definicion de analogia en la logica es un toque distinta'
tarea,'lei que usa un metodo heuristico para analizar un caso'
tarea,'les doy un ejemplo para la segunda, las aplicaciones te teclados para los telefonos inteligentes, que te van armando la frase a medida que lo vas usando'
tarea,'lo deje un toque mas bonito y le puse la primera hoja controlen los nombre'
tarea,'lo hicieron re pegado'
tarea,'lo que tiene de bueno, o a diferencia del resto que se puede destacar de razonamiento basado en casos, es que se basa en los ejemplos anteriores para saber como actuar frente a uno nuevo, y si sabe como hacerlo lo resuelve, y lo guarda en su memoria.'
tarea,'En otros creo que si no sabe no lo resuelve, o tienen algunos mecanismos para poder deducir, o actuar frente a distintas circunstancias, a veces no arrancan con casos directamente, sino con premisas, o reglas, o ejemplos contundentes'
socio-emocional,'Los problemas de levantarme a las 6'
tarea,'me aparecian como q estaban todos conectados abajo... pero escribi y desaparecieron'
socio-emocional,'me estoy durmiendo tambien jaja y me tengo q bañar todavia XD'
tarea,'miren, segun esto prolog ES RBC'
tarea,'No te enrosques con eso, como definición eso a mi no me importa.'
tarea,'Ya sabemos que es como una persona que mira problemas resueltos anteriores tratando de resolver uno similar, y si lo resuelve se lo acuerda para poder utilizarlo en el futuro.. fin'
tarea,'Para el 2 estaba pensando ir a lo sencillo y con ejemplos no tan locos.'
tarea,'para mi ahi esta, solo falta poner que la similitud juega un rol fundamental'
tarea,'para mi la relacion con una persona esta buena para dar un ejemplo del concepto. yo la usaria'
tarea,'pero a lo que iba es que las soluciones uqe les pasas'
tarea,'pero la idea es que si es distinta adaptarla y agregarla adaptada'
tarea,'pero no se CUANDO, si las hace antes o después de tener el problema, que es precisamente lo que diferencia a machine learning con induced rules de cbr'
tarea,'pero no sé si hacce falta poner eso'
tarea,'Podemos decir que lo hace mediante 4 pasos'
tarea,'Por el sistema de agregar notas en cada punto puede andar bien, para \"debatir\" en off, pero todos a la vez'
tarea,'por eso en otros articulos se decia que prolog no era lo mas fuerte para implementar este tipo de razonamiento, si bien se puede no es el mejor'
tarea,'Prolog es un lenguaje turing completo y sirve más para AI que muchos lenguajes eh, osea te da más facilidad'
tarea,'que es como que la base de datos la va creando incrementalmente con sus propias soluciones'
socio-emocional,'Recien pude conectarme, estuve todo el dia fuera de casa, Y mañana voy a estar en la misma, pero si mañana se conectan todos a esa hora voy a tratar de estar.'
tarea,'si en realidad eso es lo que lei en un articulo y desp lo lleva a la inteligencia aritficial como algo asi'
tarea,'Sí, de hecho fué creado con intenciones de ser aplicado en el campo de la Inteligencia Artificial, y Machine Learning es una de las tantas maneras de acercarse a la AI.'
tarea,'Las propiedades de meta-programación que tiene Prolog permiten desarrollar programas en prolog que en base a eventos (que éstos a su vez están basados en consecuencia de interpretar algún tipo de información) permitan modificarse a si mismos o incluso a otros programas en prolog.'
tarea,'si, para mi habria que poner lo que dice el ultimo link, el 5.1'
tarea,'suponete una base de datos de un hospital.'
tarea,'Bajo una serie de casos con determinados sintomas se dieron tales tratamientos con tales resultados.'
tarea,'Entonces el usuario que usa CBR ingresa los sintomas y le retorna esos resultados posibles.'
tarea,'suponiendo que corrija frases con tiempos vervales y eso..'
tarea,'ver algo que ya paso'
socio-emocional,'wtf, eso fue lo que puse antes 2 veces, le agregaste paréntesis nomás jajaa'
tarea,'y hacemos una puesta en comun'
tarea,'y pseudocodigueandolo?'
tarea,'Ya habíamos decidido, nos juntabamos a esta hora a debatir las respuestas que cada uno había pensado para cada incizco'
tarea,'yo encontre esto de un a tesis haber q les parece'
tarea,'yo esa frase ni la pondría'
tarea,'pero si les gusta acomodenla'
socio-emocional,'yo no toqué nada, entre vos y josé figuran todos los edits, solo aparece que Diego puso una imágen'
tarea,'yo sacaria lo de \"Podemos decir entonces...\"'
tarea,'Yo usaría memoria'
socio-emocional,'Yo viajo el Viernes, pero después tengo disponibilidad dentro de todo...'
tarea,'ah pero quien agregó esa frase?'
tarea,'ah q hs??'
tarea,'bueno, esperemos a ver que opina el resto, si quieren retoquen algo, lo escribi como lo pense jaja'
tarea,'Che, lo del control de procesos de donde salió?'
socio-emocional,'demostramelo jaja'
tarea,'después cuándo?'
tarea,'donde AI significa inteligencia artificial no?'
tarea,'el q es al pedo leer de eso o agregarlo?'
tarea,'en la de el medico vs decis poner algo como que se sabe la enfermedad por esos mismos sintomas de otras enfermedades anteriores de otros pacientes ponele'
tarea,'esas soluciones de donde salieron?'
tarea,'eso lo guarda?'
tarea,'estas viendo el doc?'
tarea,'fijense, en el parrafo 3, la ultima oracion que agregue'
tarea,'Hola diego lo mandaste??'
socio-emocional,'jaja a ver'
socio-emocional,'jajaja a ver'
tarea,'laura, si a vos te parecen bien las modificaciones q hizo, ponemos aceptar los cambios y listo'
tarea,'no hiciste el TP1?'
tarea,'No podemos borrar el chat y la catedra lo puede leer ?'
tarea,'no se qué poner más de lo que ya puse en la 3'
tarea,'perdieron todo el formato de lo que hicieron'
tarea,'pero esas soluciones, quien soluciono eso antes?'
tarea,'que escribo?'
tarea,'quien está romiendo todo'
tarea,'renzo no está no ?'
tarea,'revise si testea a ver si está bien lo q flashamos'
tarea,'todavia no dejaron el trabajo no? xq no lo encuentro en la pagina'
tarea,'un corrector de sintaxis seria RBC?'
tarea,'ustedes lo releyeron todo?'
tarea,'vos decis lo que esta en rojo?'
tarea,'ah, pero si Mateo viaja a la tarde y podemos hacerlo antes también'
tarea,'pueden antes de las 5? para que estemos todos digo'
tarea,'ahi lo acomode haber si les gusta'
tarea,'ahora estan al pedo??? casi estamos todos'
tarea,'bueno la dejamos ahi y agregamos las 4 etapas?'
tarea,'bueno tipo 7 pueden?'
tarea,'bueno, les parece mañana a las 5 de nuevo? por las dudas'
tarea,'bueno, si quieren pongo eso y le van agregando'
tarea,'che cortamos a la una?'
tarea,'el primer parrafo y el tercero son parecidos, podemos hacer uno de esos 2'
tarea,'El Razonamiento Basado en Casos es una tecnica de resolución de problemas que se apoya en la premisa de que problemas parecidos tendran soluciones semejantes, basándose en las soluciones de problemas anteriores, mediante analogias, etc.'
tarea,'estamos de acuerdo que es un paradigma no?'
tarea,'habria q ponerlas, q les parecce?'
tarea,'habria q ver q dice bruno'
socio-emocional,'igual te quiero, loquito pero te quiero'
tarea,'leiste lo q esta en el doc?'
tarea,'les parece conectarse de nuevo mañana a algun horario para ver si nos ponemos de acuerdo y lo mandamos?'
tarea,'les parece mañana tipo 5?'
tarea,'les parece si la vamos escribiendo en el documento?'
tarea,'Les queda bien mañana a las 14hs??'
tarea,'lo mando si queres'
tarea,'mas tarde pueden??'
tarea,'no les parece que esta como redundante eso?'
tarea,'no se porque te parecio erroneo, si esta mal lo cambiamos'
tarea,'no se puede adaptar para este trabajo'
tarea,'nose q dicen'
tarea,'o sea que para la 3 podria ser que alcance con utilizar inteligencia artificial para hacer con javalog RBC'
tarea,'pero les parece mal lo de analogia?'
tarea,'podriamos usar los ejemplos de inteligencia artificial'
tarea,'por ahi lo podemos hacer con un member y un append'
tarea,'que les parece la del niño?'
tarea,'se puede arreglar eso?'
tarea,'se puede borrar este chat despues?'
tarea,'si queres lee lo que hicimos y decinos que te parece'
tarea,'si quieren lo pongo en la segunda'
tarea,'una diferencia en el matcheo no se podria solucionar con casos similares?'
tarea,'y desp podemos llevar ese concepto a la intel artificial..nose digo'
tarea,'y dps los demas lo leen y mejoran lo q les parece'
tarea,'y no podemos adaptarlo?'
tarea,'y si dejamos las 3 primeras?'
tarea,'yo si para las 7 nadie dice de cambiar nada lo mando'
tarea,'a que hs podes??'
tarea,'A que hs pueden?'
tarea,'Ahí hice unos cambios pequeñísimos, alguna que otra palabra.'
tarea,'En general me gusta como está todo el TP.'
tarea,'Quieren ya mandarlo?'
tarea,'bueno como hacemos'
tarea,'bueno, dejamos la 3 para mañana?'
tarea,'Bueno, tiramos ideas para el punto 2?'
tarea,'Cómo quieren ir trabajando?'
tarea,'cuando pueden conectarse?'
tarea,'el viernes en que horario pueden??'
tarea,'en algun momento nos conectamos para terminar??'
tarea,'entonces la dejamos?'
tarea,'entonces pongo lo de las personas o no?'
tarea,'no cerramos el uno con una comparacion con machine learning?'
tarea,'seguimos despues?'
tarea,'tiene sentido compararlos?'
tarea,'vamos a encarar la definicion partiendo del machine learning?'
tarea,'y nos juntamos mañana a la noche entonces?'
tarea,'ya les parece que lo mande entonces?'
socio-emocional,'buenas! como va??'
socio-emocional,'buenas, no sabía que se podía chatear por aca.'
socio-emocional,Buenisimo
tarea,'que hacemos? yo tenía pensado que cada uno responda, marcando una sección con su nombre.'
tarea,'Y podríamos despues fusionar las respuestas o algo asi'
socio-emocional,'yo si quieren hago la primera'
tarea,'ahh decis responder las 3 cada uno y despues mezclar'
tarea,'para mi seria mas simple si dividimos el punto 2(repartiendo las 3 aplicaciones para cada uno) mas el punto 1 y 3, serian 5 uno para cada uno'
socio-emocional,'Hola chicos, como estan?'
tarea,'Como vieron ya nos dieron el primer TP.'
tarea,'Les escribía para ir poniendonos en contacto e ir viendo cuando les parece que lo empecemos a hacer.'
socio-emocional,'Saludos, Cristian.'
tarea,'Sisi lo lei, hay que ir a buscar algo a la biblio?'
socio-emocional,'Yo mañana voy a ir a la facu'
tarea,'Creo que la idea es que hablemos por el chat del doc como para ver cómo se desenvuelve cada uno .'
tarea,'Me parece que apuntan a eso'
tarea,'Cuando quieran arrancamos'
tarea,'Bueno, si quieren vamos subiendo info al documento, lo discutimos y de ultima nos juntamos un dia en la biblio'
socio-emocional,'Yo justo estoy yendo porque tengo que buscar unas cosas, de paso me fijo si hay algo en la biblioteca.'
tarea,'No se si vieron lo que puse en el chat del doc ayer'
socio-emocional,'No se ve nada en el chat del documento.'
socio-emocional,'No se si yo soy el gil que no sabe como verlo o es que solo funciona mientras que cuando estamos en el mismo momento sobre el documento.'
tarea,'El chat lo pueden ver sólo las personas que están en el momento que otro escribe'
tarea,'por eso no lo vemos'
tarea,'Les parece hacer así como puse?'
socio-emocional,'Ah bueno.'
tarea,'Deje escrito en el documento, fijense que opinan'
socio-emocional,'Ahi lei lo que pusiste, me parece bien.'
socio-emocional,'Luego subo mi parte'
tarea,'Dale, lo que subí yo lo estuvimos haciendo con Aye en la biblioteca.'
tarea,'Si tienen algo para poner vayan poniéndolo y vamos viendo'
socio-emocional,'Lo ideal era que esta discusión se desarrolle en le Google Docs'
socio-emocional,'Y evitar las reuniones personales en la biblioteca !'
socio-emocional,'Ah, pido disculpas. no sabíamos !'
tarea,'Igual el encuentro fue casual porque fuimos a buscar bibliografía.'
tarea,'Vamos a seguir directo por google docs entonces'
tarea,'Deben usar este chat-room todos juntos, no por separado..'
tarea,'Entonces la idea es pactar una hora donde estemos todos juntos para discutir y resolver el trabajo?'
tarea,'Todos deben usar esta sala debido a problemas que estuvieron reportando sobre el otro chat otros grupos.'
tarea,'Es la alternativa al otro chat.'
tarea,'La resolución y organización deben resolverlo ustedes'
tarea,'Ahh, yo también interpreté que debíamos estar todos conectados al mismo tiempo en el chat.'
tarea,'Eso no es necesario, no?'
tarea,'El msj es genérico?'
socio-emocional,'Porque lo estábamos usando bien (a mi entender)'
tarea,'Chicos, en el documento agregue un apartado en donde iría la respuesta final, sacando lo mejor de cada respuesta individual.'
tarea,'Ya completé algo, los que quieran revisenlo.'
tarea,'Esa parte la podemos ir modificando todos (aclarando los cambios) así vamos definiendo las respuestas.'
tarea,'Que les parece ?'
socio-emocional,'Cuando llegue a casa lo leo'
tarea,'yo en mi parte habia redactado la información que tenias en tu parte'
socio-emocional,'Cuando esté en la compu comento'
tarea,'Ahí comente el doc'
tarea,'Agregue información al ejercicio 2 (profundice sobre diagnósticos médicos, y algo de INFO general), y la pregunta 3.'
tarea,'Fijense que opinan, deje las fuentes también.'
tarea,'Quedaría profundizar dos aplicaciones mas'
tarea,'Aye, acabo de ver tu comentario del ejemplo del diagnostico médico con imágenes.'
tarea,'Esta bueno, no lo habia leido.'
tarea,'Si querés agregalo así no nos olvidamos, yo ahora estoy desde el teléfono y no puedo'
socio-emocional,'Aaa no hay problema ahora veo donde lo agregamos y si queda bien'
tarea,'Si pueden guarden las fuentes de donde sacan todos, por si ponemos bibliografía al final del trabajo'
socio-emocional,Genial
tarea,'En la parte de respuestas generales ya están las 3 preguntas resueltas.'
tarea,'Solamente queda revisar'
socio-emocional,'Genial yo después lo leo y comento lo que me parece'
tarea,'Ya esta el apartado de bibliografía y le agregue las fuentes que usé yo.'
tarea,'El que tenga papers/libros de donde saco la información vaya poniéndolas ahí'
socio-emocional,'Buenisimo ahora lo miro'
tarea,'Chicos, borre todo lo individual y deje las respuestas finales, cosa de que vaya quedando listo para entregar.'
tarea,'Antes de esto, por las dudas les envíe una copia del documento donde esta todo'
socio-emocional,Genial
socio-emocional,Barbaro
tarea,'Lo relei y me parece que quedo bien, me gusto'
socio-emocional,'Si, yo tambien lo estuve leyendo de nuevo.'
tarea,'No creó que haga falta agregar mas'
tarea,'Acabo de terminar de leerlo'
tarea,'Creo que no tiene errores de redacción, para mi ya esta listo'
tarea,'Por eso, quedo bien estructurado y todo.'
socio-emocional,Buenissssimo
tarea,'Ahora lo entrego entonces si les parece'
tarea,'Estoy terminando de corregir unas cosas y agregar unas url'
tarea,'Para mi esta perfecto'
tarea,'Lo acabo de mandar, les debería llegar una copia a todos'
tarea,'Sisi a mi me llego'
tarea,'Si, a mi tambien me llego'
tarea,'Ah me falto agregar los integrantes en el documento.'
socio-emocional,'En un rato lo reenvío'
tarea,'No creo que haga falta'
tarea,'Si, me llego un mail diciendo eso'
socio-emocional,'ahora lo agrego'
socio-emocional,'Aaaa esta bien :)'
tarea,'Ya lo mandé'
socio-emocional,Genial
socio-emocional,(Y)
socio-emocional,'Hola chicos, soy Sofía Muñoz.'
socio-emocional,'Me gusta la idea de acordar un día y horario para conectarnos todos.'
tarea,'Lo ideal sería que cada uno vaya leyendo e investigando un poco para poder intercambiar opiniones.'
tarea,'Yo también rindo el miércoles, pero después de las 5 ya puedo.'
socio-emocional,'Dale Juan, a las 5 voy a andar por acá.'
tarea,'No sé que pasa que se me cierra el chat'
tarea,'¿qué hacemos?'
tarea,'¿completamos el 1?'
tarea,'el 3 me gusta como quedó, el ejemplo es perfecto'
tarea,'Si a mi también se me cierra.'
socio-emocional,'Si dale'
tarea,'podemos completar el uno'
tarea,'Encontre un poco de chamuyo para arrancar en el 3.'
tarea,'La definición de dispositivos computacionales que puedan pensar requiere la incorporación de elementos que permitan representar el conocimiento y su consecuente'
tarea,'Uno de los primeros intentos consistió en la creación de un mecanismo para implementar algoritmos basados en lógica de primer orden.'
tarea,'De este esfuerzo nació el lenguaje de programación llamado Prolog.'
tarea,'Prolog es un lenguaje de programación para representar y utilizar el conocimiento que se tiene sobre un determinado dominio.'
tarea,'Más exactamente, el dominio es un conjunto de objetos y el conocimiento se representa por un conjunto de relaciones que describen las propiedades de los objetos y sus interrelaciones.'
tarea,'che.. lo de inductivo,deductivo.. todo eso del 1.. para mi es re secundario.. osea, encontre una parte que lo dice recontra breve ..como decir : esto es TAL cosa, esto TAL otra..'
socio-emocional,'Si, yo por eso lo deje ahi, no sabia bien que poner'
socio-emocional,'no creo que sea necesario poner mas q eso siendo q la pregunta se centra mas en otra cosa.. para mi es practico poner algo simple'
socio-emocional,'Claro, porque habla de definicion, no de explicación.'
tarea,'Pero como que leo eso, y me queda medio vacio'
tarea,'¿Cómo adquiere la capacidad de aprender?'
socio-emocional,Hola
tarea,'Falta tobias'
socio-emocional,Sí...
tarea,'Bueno, como hacemos esa parte de explicar los tipos de aprendizaje'
tarea,'Eso de supervisado y no supervisado, lo lei en varios lados, hasta e wiki .'
tarea,'a mi me parece que se entiende más con la información de los pdf que nos pasamos, y me parece bien profundicar en inductivo como dijiste'
tarea,'¿hay alguna forma de poner esta ventanita del chat en el docs? porque lo tengo en dos lugares distintos y me vuelve loca!'
tarea,'mm, creo que no.'
tarea,'Lo que si la podes sacar como una ventana aparte.'
tarea,'con la flecha de al lado de cerrar.'
socio-emocional,'claro, eso lo vi.. y bueno, algo es algo'
tarea,'Yo dejaria eso de supervisado y no supervisado, asi bien puntual.'
tarea,'Mostrando las diferencias que hay entre cada uno, a que apunta cada uno y que resultado dan.'
socio-emocional,'está bien'
tarea,'Lo acomodaria abajo de lo que puso tobias ahi en aprendizaje inductivo .'
tarea,'y por ahi tratar de explicar un poco con nuestras palabras los otros aprendizaje y listo.'
tarea,'Como haciendo clasificación de inductivo, dale\"'
tarea,'soy horrible tratando de que quede lindo un doc'
socio-emocional,'Jajajaja, yo te lo acomodo'
socio-emocional,'dale jaja'
tarea,'los de las redes de neuronas lo saco'
tarea,'ahi acomode un poco,,,'
tarea,'o dejo lo de las neuronas?'
tarea,'mm, a mi no me gusta, pero porque no lo entiendo, no porque este mal'
tarea,'Bueno, todos esos métodos de aprendizajr que estamos poniendo son un extra igual, así que si no estamos muy seguros de algo lo sacamos'
tarea,'Ahi entra Juan creo, que tampoco encuentra como entrar al chat'
tarea,'y vemos, tobias tampoco debe encontrar como entrar'
socio-emocional,'capaz que no... no es muy fácil'
tarea,'Para el 3 como una intro, encontre esto.'
tarea,'La definición de dispositivos computacionales que puedan pensar requiere la incorporación de elementos que permitan representar el conocimiento y su consecuente manipulación'
tarea,'Uno de los primeros intentos consistió en la creación de un mecanismo para implementar algoritmos basados en lógica de primer orden.'
tarea,'De este esfuerzo nació el lenguaje de programación llamado Prolog.'
tarea,'Prolog es un lenguaje de programación para representar y utilizar el conocimiento que se tiene sobre un determinado dominio.'
tarea,'Más exactamente, el dominio es un conjunto de objetos y el conocimiento se representa por un conjunto de relaciones que describen las propiedades de los objetos y sus interrelaciones.'
tarea,'O sea el conjunto de objetos, son los hechos en la base, y el conocimiento lo representamos mediante los predicados.'
tarea,'yo pondría desde: \"Prolog es un lenguaje de progrmación....\"'
tarea,'objetos : fiebre, juan .'
tarea,'relacion tiene(juan,fiebre)'
socio-emocional,barbaro!
socio-emocional,'Claro, tipo una intro, y después el ejemplo que esta ahi.'
socio-emocional,'si, va a quedar re bien'
tarea,'Chicos, ahí vengo en 15'
socio-emocional,Ok
tarea,'Igual, creo que ya iría quedando, solo decidir que hacemos con lo de los tipos de aprendizajes y listo.'
tarea,'Pero ahi vengo, y cerramos asi no se nos hace muy tarde.'
socio-emocional,'Dale, te espero para eso, pero es verdad, ya estaríamos'
socio-emocional,'me estaba perdiendo un par de cosas'
tarea,'Yo al genético y al conexionista los sacaría, es como mucho ya'
socio-emocional,'jajaja, bienvenido'
socio-emocional,'jaja, es todo un dilema ver hasta donde si, y cuando cortar para no irnos por las ramas'
socio-emocional,'Claro... viste que agregamos bastante en la parte de inductivo, pero es porque nos pareció el más importante'
tarea,'si bien son datos importantes, yo quiero como sacar la informacion complementaria'
tarea,'lo de las redes de neuronas es interesante, pero es como demasiado ya..'
socio-emocional,si
tarea,'y que es parte del aprendizaje conexionista o que?'
socio-emocional,claro
tarea,'en realidad como no entendiamos a que se referia con lo de redes de neuronas artificales buscamos esa definicion'
tarea,'con eso entre paréntesis no hace falta la definición formal, esta bien?'
socio-emocional,si
socio-emocional,perfecto
tarea,'jajaja, borralo sin culpa, se entiende con lo que pusiste entre parentesis'
socio-emocional,'lo se, pero como no tengo idea de que parte de google salio esa definicion espero a que todos esten de acuerdo'
tarea,'total es solo mirar lo que hay que borrar antes de hacer el pdf'
tarea,'Bueno, yo creo que ya estaríamos'
tarea,'esperemos a que estemos todos de acuerdo y listo'
socio-emocional,'hay un chico que no apareció todavía...'
socio-emocional,'jajaj problemas de conexión'
tarea,'bueno, que hacemos.'
tarea,'Mañana le damos los retoques finales para mandarlo? o quieren terminarlo en un rato?'
socio-emocional,'Como quieran...'
tarea,'Es para el sábado, asi que problemas de tiempo no hay'
tarea,'por otra parte no sé cuanto más se le puede agregar'
tarea,'yo decia para que lo vean todos'
socio-emocional,'Si, mejor poner una hora para mañana.'
socio-emocional,'Y no tocar nada antes de esa hora jajaja'
socio-emocional,'Good , volvi .'
socio-emocional,'Apoyo la de mañana liquidarlo medio temprano.'
socio-emocional,perfecto
socio-emocional,'yo trato de contactar al chico que falta para que este al tanto y de su opinion'
tarea,'donde te fijas los integrantes del grupo? esta en la catedra?'
tarea,'no, en el mail que nos mandaron'
tarea,'En el mail .'
tarea,'o aca, fijate que arriba hay un tipito con un 5, ahi estamos todos.'
tarea,'Bueno, a que hora les parece'
tarea,'tratemos de arreglarnos nosotros y dejemos un comentario en el doc, para que lo vean el resto.'
tarea,'tipo 5?'
tarea,quieren?
socio-emocional,'dale, dale!'
tarea,'Bueno, dejamos las 5 como horario, si alguno de los otros chicos no puede que deje sus sugerencias en el doc'
socio-emocional,listo.
socio-emocional,'Nos \"vemos\" mañana'
socio-emocional,'Hasta mañana chicos!'
tarea,'dale, dejen el comment.'
socio-emocional,listo
socio-emocional,'ah sofia, como te fue?'
socio-emocional,'tengo varios parciales practicados, aunque ya es tarde, y esperemos que no llegues al prefi . jaja'
socio-emocional,'Jajaja, creo que bien'
socio-emocional,'si me fue mal te los pido, pero espero que no!'
tarea,'vos rendiste hoy tambien?'
tarea,'No, yo la meti en el parcial'
socio-emocional,'Ah, re bien'
tarea,'que se rendia hoy?'
socio-emocional,'Bueno me fui, saludos, nos encontramos mañana!'
tarea,'recuperatorio de exploratoria'
socio-emocional,Exitos
socio-emocional,'Gracias, hasta mañana chicos!'
socio-emocional,'hasta mañana'
socio-emocional,Hola!
socio-emocional,'acá estoy!'
socio-emocional,'hola sofi, como va?'
socio-emocional,'Todo bien, ¿vos?'
socio-emocional,'todo bien'
tarea,'Se me pasó un poco la hora, ya casi me olvidaba'
socio-emocional,jajaja.
tarea,'Les damos 5 min al resto'
socio-emocional,'Si, no hay problema!'
socio-emocional,'Ah, Colo está en el doc, lo veo...jajaja'
socio-emocional,'ahi vine!'
socio-emocional,'esto de hangouts es medio incomodo'
